AJ SUEDE - LEFTHANDED VIRGO (cassette rip),https://youtu.be/e5WD6RIgaJ4
AJ SUEDE - LEFTHANDED VIRGO (cassette rip),https://youtu.be/29f1FTjTcZs
G.O.A.T. - PRINCESS NOKIA,https://youtu.be/qa5HMtVqR6o
DRAGONS - PRINCESS NOKIA,https://youtu.be/dncs8LscyU8
"Tyler, The Creator - Who Dat Boy",https://youtu.be/FUXX55WqYZs
"Tyler, The Creator - 911 / Mr. Lonely (Audio)",https://youtu.be/khMb3k-Wwvg
Aaron Cohen  -  Off The Ground (Official Video),https://youtu.be/svMHck2MzHg
Earl Sweatshirt - Hat Trick // Human Error,https://youtu.be/I_bqOK56lu8
DJ Smokey - Traphouse Of Horrors Chapter 4 [Positive Squad The Soundtrack Vol.1],https://youtu.be/0n1gycM4TeU
lil peep - benz truck (prod. smokeasac),https://youtu.be/3rkJ3L5Ce80
6 dogs - Spaceship,https://youtu.be/FFST-B1l4dQ
6 dogs - Mazi Love,https://youtu.be/rGaJyTiFuLg
joeyy - not shit 🚯®️®️®️,https://youtu.be/HpXve8DcqJ8
"The Big Head, Lil Tracy, Mackned & Gnealz Interview - No Jumper",https://youtu.be/VYfJYJXEYqI
"Vince Staples Speaks On New Music, Respecting Bow Wow & Why Gangsta Lyrics Are Lame",https://youtu.be/3ceouMKCuDE
"Toro y Moi - ""Boo Boo"" (album stream)",https://youtu.be/9rPOuZ4vY50
KILLY - Distance,https://youtu.be/bJ1CEP3ncyI
Yung Pinch - When I Was Yung (Prod. Matics) [OFFICIAL VIDEO],https://youtu.be/QCVPxZUrxC4
Yung Pinch - Look Like (Shot by @_ColeBennett_),https://youtu.be/nkKhUtFqBrU
oklou - 22,https://youtu.be/GcmK5zVoz4Q
Pimp C - I'm Free,https://youtu.be/1SV6_4Y-D6M
SwaVay - Quicktrip (Music Video),https://youtu.be/wvnkaO_4fzA
Frank Ocean and Brad Pitt Take Their Bromance to the Next Level at FYF Fest,https://youtu.be/PikYbke5mAk
Sortahuman & Main Attrakionz - Stonergang,https://youtu.be/QwW1GegAk4U
Tamia - Officially Missing You (Video),https://youtu.be/HeK1zQFJtXE
oliver ~ tokyo splash,https://youtu.be/XQLKj4ud76o
SELL MA HO/////// MINK RUG///////////////METROZU///////,https://youtu.be/3XvGklFg5HA
Jack Donoghue - TAN+BITCH,https://youtu.be/jlVrXVOwuUM
Jaden Smith - Watch Me,https://youtu.be/GAO5DuqUgLc
Cold Hart - You Can Have My Shirt (Prod by Eternal Night),https://youtu.be/5Jl6NwTytUo
"Lil B - B.O.R.(Birth Of Rap) BASED MUSIC VIDEO DIRECTED BY LIL B!!!!! ANSWER TO ""D.O.R.""",https://youtu.be/OeLQOfb6IBU
"Lil B - ""I'm God"" - Pitchfork Music Festival 2013",https://youtu.be/yTC8ECjQBp8
Keyboard Kid - Based In The Rain,https://youtu.be/ZsXQHKdzIL4
Lil B - Dark Skin,https://youtu.be/9OBx7HVEr8Q
Lil B - Hipster Girls,https://youtu.be/ZqrwnSq6nvM
Clams Casino - I'm The Devil,https://youtu.be/SZZF4pU3shc
Lil B - Flowers Rise *MUSIC VIDEO* ONE OF THE MOST CLASSIC VIDEOS CREATED! FACT!,https://youtu.be/I4g8s_4h9ms
Lil B - Unchain Me *VIDEO*MONUMENTAL! HISTORICAL MUSIC!,https://youtu.be/mQAT_cRDWwU
"Lil B x Metro Boomin ""My House"" (WSHH Exclusive - Official Audio)",https://youtu.be/Q_BUlRArIIw
Lil B - California Boy *MUSIC VIDEO*,https://youtu.be/eU5PVFjsQG8
Lil B - Already (Download Link),https://youtu.be/Fe_80FNcedY
LIL B (Of The Pack ) - We Can Go Down OFFICIAL BasedGod VIDEO,https://youtu.be/XBbi2dS9-JY
Lil B - I Hate Myself,https://youtu.be/6E_vjG_11ck
"Lil B - Motivation [Angels Exodus, very positive rare music]",https://youtu.be/LcmhXYvvMj8
Wiz Khalifa- Never Sober (Bonus Track),https://youtu.be/eQXBnDzbx-w
clairo - i haven't left my bed yet (remix),https://youtu.be/tBaeE0GQYmU
Taeko Ohnuki - Sunshower (Full Album),https://youtu.be/98fqXx-KFgI
Oneohtrix Point Never - The Pure and the Damned (ft. Iggy Pop),https://youtu.be/MRPc2b9i2oc
THE COOL KIDS   CHECKOUT,https://youtu.be/B0cJkiRjwHE
THE KHAN - VICES FT. LIL TRACY (Official Music Video),https://youtu.be/Go-urO062sg
Ka5sh - I'm Depressed [Official Music Video],https://youtu.be/jXSZkZyOdvY
Living off Memes: The Life of a Professional Meme-Maker | NBC News,https://youtu.be/f9PmA5j3EXg
FITH FEATURING SQUADDA B - AND I SWEAR (OFFICIAL MUSIC VIDEO),https://youtu.be/DmnINndqQIQ
Stash Marina - SuperFragile,https://youtu.be/MvI4_6fTDSE
Michelle Branch - Everywhere [Official Music Video],https://youtu.be/HLCasyAh7ic
Simple Steven - OVRWHLMD (Official Music Video) (prod. Party Trash),https://youtu.be/9P2lDcoSe2o
Greenova Greatest Hits (Produced By Squadda B) SIDE B TRAILER,https://youtu.be/-uVhPn42gGE
NOAH 23 - BEST TO EVER DO IT ( VIDEO ),https://youtu.be/7KzyrOxsvsM
"6 Dogs - ""Faygo Dreams"" Official Music Video | Pigeons & Planes Premieres",https://youtu.be/AU9sXfISeiA
Namir Blade - UFO,https://youtu.be/bpSXY1PbyjY
..Origins..,https://youtu.be/rxuP6y4HpOw
o f f i c i a l l y m i s s i n g y o u (Feat. OKLOU),https://youtu.be/4R_2fCj4C-k
Mondre M.A.N - Helen Keller (Prod by Rav Mojo),https://youtu.be/7ESfYMIhNb0
MondreM.A.N. : : Gettin High,https://youtu.be/qnAEihOL06M
MondreM.A.N. - Ancient Times (MUSIC VIDEO),https://youtu.be/ZxOAOEfyGMI
MondreM.A.N. - Ha Haaaa (Music Video),https://youtu.be/A13CvXpbT5M
Main Attrakionz - Still the Legion,https://youtu.be/kwI8WgEQLBM
QEEI & Party Trash - Akira,https://youtu.be/_6F4c8SjiaE
Méne - Nunca es tu piel (Prod. Profff),https://youtu.be/N1-PIaJfu-U
JoeyBagaDohNutz - AVALANCHE! (prod. by BLOWN),https://youtu.be/Tvg-Wu34zjA
Mall Grab Boiler Room Paris DJ set,https://youtu.be/MWoPYICAbw4
diving sun,https://youtu.be/NTC3ZfgtTzc
Aaron Cohen - See Red (Official Video),https://youtu.be/O_5KYZSw07w
Rosalía - De Plata,https://youtu.be/NfDEEyg3AdA
KILLY & 16yrold - No Romance,https://youtu.be/E_xRMGvVHfs